bank_transaction_id,code,id,ledger_record_id,severity,status
143,unmatched_bank_transaction,1,,warning,open
145,unmatched_bank_transaction,2,,warning,open
201,unmatched_bank_transaction,3,,warning,open
204,unmatched_bank_transaction,4,,warning,open
453,unmatched_bank_transaction,5,,warning,open
456,unmatched_bank_transaction,6,,warning,open
614,unmatched_bank_transaction,7,,warning,open
617,unmatched_bank_transaction,8,,warning,open
646,unmatched_bank_transaction,9,,warning,open
647,unmatched_bank_transaction,10,,warning,open
797,unmatched_bank_transaction,11,,warning,open
801,unmatched_bank_transaction,12,,warning,open
,unmatched_ledger_entry,13,JL-2022-000002-01,warning,open
,unmatched_ledger_entry,14,JL-2022-000066-01,warning,open
,unmatched_ledger_entry,15,JL-2022-000124-01,warning,open
,unmatched_ledger_entry,16,JL-2022-000162-01,warning,open
,unmatched_ledger_entry,17,JL-2022-000164-01,warning,open
,unmatched_ledger_entry,18,JL-2022-000188-01,warning,open
,unmatched_ledger_entry,19,JL-2022-000250-01,warning,open
,unmatched_ledger_entry,20,JL-2022-000264-01,warning,open
,unmatched_ledger_entry,21,JL-2022-000270-01,warning,open
,unmatched_ledger_entry,22,JL-2022-000314-01,warning,open
,unmatched_ledger_entry,23,JL-2022-000376-01,warning,open
,unmatched_ledger_entry,24,JL-2022-000440-01,warning,open
,unmatched_ledger_entry,25,JL-2022-000504-01,warning,open
,unmatched_ledger_entry,26,JL-2022-000566-01,warning,open
,unmatched_ledger_entry,27,JL-2022-000630-01,warning,open
,unmatched_ledger_entry,28,JL-2022-000692-01,warning,open
,unmatched_ledger_entry,29,JL-2022-000698-01,warning,open
,unmatched_ledger_entry,30,JL-2022-000704-01,warning,open
,unmatched_ledger_entry,31,JL-2023-000756-01,warning,open
,unmatched_ledger_entry,32,JL-2023-000820-01,warning,open
,unmatched_ledger_entry,33,JL-2023-000878-01,warning,open
,unmatched_ledger_entry,34,JL-2023-000942-01,warning,open
,unmatched_ledger_entry,35,JL-2023-000976-01,warning,open
,unmatched_ledger_entry,36,JL-2023-000982-01,warning,open
,unmatched_ledger_entry,37,JL-2023-001004-01,warning,open
,unmatched_ledger_entry,38,JL-2023-001034-01,warning,open
,unmatched_ledger_entry,39,JL-2023-001036-01,warning,open
,unmatched_ledger_entry,40,JL-2023-001068-01,warning,open
,unmatched_ledger_entry,41,JL-2023-001130-01,warning,open
,unmatched_ledger_entry,42,JL-2023-001194-01,warning,open
,unmatched_ledger_entry,43,JL-2023-001258-01,warning,open
,unmatched_ledger_entry,44,JL-2023-001298-01,warning,open
,unmatched_ledger_entry,45,JL-2023-001304-01,warning,open
,unmatched_ledger_entry,46,JL-2023-001320-01,warning,open
,unmatched_ledger_entry,47,JL-2023-001384-01,warning,open
,unmatched_ledger_entry,48,JL-2023-001446-01,warning,open
