amount,confidence,group_id,status,type
512.000000,0.980000,95,suggested,one_to_one
512.000000,0.980000,97,suggested,one_to_one
498.000000,0.980000,153,suggested,one_to_one
498.000000,0.980000,156,suggested,one_to_one
713.000000,0.980000,405,suggested,one_to_one
713.000000,0.980000,408,suggested,one_to_one
687.000000,0.980000,566,suggested,one_to_one
687.000000,0.980000,569,suggested,one_to_one
608.000000,0.980000,598,suggested,one_to_one
608.000000,0.980000,599,suggested,one_to_one
744.000000,0.980000,749,suggested,one_to_one
744.000000,0.980000,753,suggested,one_to_one
512.000000,0.900000,878,suggested,one_to_one
512.000000,0.900000,879,suggested,one_to_one
608.000000,0.900000,880,suggested,one_to_one
608.000000,0.900000,881,suggested,one_to_one
498.000000,0.800000,882,suggested,one_to_one
498.000000,0.800000,883,suggested,one_to_one
713.000000,0.800000,884,suggested,one_to_one
713.000000,0.800000,885,suggested,one_to_one
687.000000,0.800000,886,suggested,one_to_one
687.000000,0.800000,887,suggested,one_to_one
744.000000,0.800000,888,suggested,one_to_one
744.000000,0.800000,889,suggested,one_to_one
