confidence,deposit_total,gl_total,group_id,invoice_id,invoice_total,matched_amount,payment_total,status
0.850000,802.000000,0.000000,1,INV-2022-0001,802.000000,802.000000,802.000000,partial
0.850000,0.000000,0.000000,2,INV-2022-0002,3403.000000,3403.000000,3403.000000,partial
0.850000,970.000000,0.000000,3,INV-2022-0003,970.000000,970.000000,970.000000,partial
0.850000,888.000000,0.000000,4,INV-2022-0004,888.000000,888.000000,888.000000,partial
0.850000,821.000000,0.000000,5,INV-2022-0005,821.000000,821.000000,821.000000,partial
0.850000,787.000000,0.000000,6,INV-2022-0006,787.000000,787.000000,787.000000,partial
0.850000,1059.000000,0.000000,7,INV-2022-0007,1059.000000,1059.000000,1059.000000,partial
0.850000,849.000000,0.000000,8,INV-2022-0008,849.000000,849.000000,849.000000,partial
0.850000,1113.000000,0.000000,9,INV-2022-0009,1113.000000,1113.000000,1113.000000,partial
0.850000,891.000000,0.000000,10,INV-2022-0010,891.000000,891.000000,891.000000,partial
0.850000,860.000000,0.000000,11,INV-2022-0011,860.000000,860.000000,860.000000,partial
0.850000,721.000000,0.000000,12,INV-2022-0012,721.000000,721.000000,721.000000,partial
0.850000,1174.000000,0.000000,13,INV-2022-0013,1174.000000,1174.000000,1174.000000,partial
0.850000,869.000000,0.000000,14,INV-2022-0014,869.000000,869.000000,869.000000,partial
0.850000,1063.000000,0.000000,15,INV-2022-0015,1063.000000,1063.000000,1063.000000,partial
0.850000,1019.000000,0.000000,16,INV-2022-0016,1019.000000,1019.000000,1019.000000,partial
0.850000,1184.000000,0.000000,17,INV-2022-0017,1184.000000,1184.000000,1184.000000,partial
0.850000,720.000000,0.000000,18,INV-2022-0018,720.000000,720.000000,720.000000,partial
0.850000,973.000000,0.000000,19,INV-2022-0019,973.000000,973.000000,973.000000,partial
0.850000,1015.000000,0.000000,20,INV-2022-0020,1015.000000,1015.000000,1015.000000,partial
0.850000,964.000000,0.000000,21,INV-2022-0021,964.000000,964.000000,964.000000,partial
0.850000,791.000000,0.000000,22,INV-2022-0022,791.000000,791.000000,791.000000,partial
0.850000,1154.000000,0.000000,23,INV-2022-0023,1154.000000,1154.000000,1154.000000,partial
0.850000,963.000000,0.000000,24,INV-2022-0024,963.000000,963.000000,963.000000,partial
0.850000,1119.000000,0.000000,25,INV-2022-0025,1119.000000,1119.000000,1119.000000,partial
0.850000,1089.000000,0.000000,26,INV-2022-0026,1089.000000,1089.000000,1089.000000,partial
0.850000,959.000000,0.000000,27,INV-2022-0027,959.000000,959.000000,959.000000,partial
0.850000,917.000000,0.000000,28,INV-2022-0028,917.000000,917.000000,917.000000,partial
0.850000,901.000000,0.000000,29,INV-2022-0029,901.000000,901.000000,901.000000,partial
0.850000,969.000000,0.000000,30,INV-2022-0030,969.000000,969.000000,969.000000,partial
0.850000,970.000000,0.000000,31,INV-2022-0031,970.000000,970.000000,970.000000,partial
0.850000,889.000000,0.000000,32,INV-2022-0032,889.000000,889.000000,889.000000,partial
