bank_transaction_id,code,gl_record_id,id,invoice_id,message,payment_id,severity,status
9,unmatched_deposit,,779,,Bank deposit is not linked to an eligible payment,,warning,open
13,unmatched_deposit,,780,,Bank deposit is not linked to an eligible payment,,warning,open
18,unmatched_deposit,,781,,Bank deposit is not linked to an eligible payment,,warning,open
21,unmatched_deposit,,782,,Bank deposit is not linked to an eligible payment,,warning,open
29,unmatched_deposit,,783,,Bank deposit is not linked to an eligible payment,,warning,open
33,unmatched_deposit,,784,,Bank deposit is not linked to an eligible payment,,warning,open
35,unmatched_deposit,,785,,Bank deposit is not linked to an eligible payment,,warning,open
38,unmatched_deposit,,786,,Bank deposit is not linked to an eligible payment,,warning,open
43,unmatched_deposit,,787,,Bank deposit is not linked to an eligible payment,,warning,open
51,unmatched_deposit,,788,,Bank deposit is not linked to an eligible payment,,warning,open
54,unmatched_deposit,,789,,Bank deposit is not linked to an eligible payment,,warning,open
61,unmatched_deposit,,790,,Bank deposit is not linked to an eligible payment,,warning,open
70,unmatched_deposit,,791,,Bank deposit is not linked to an eligible payment,,warning,open
72,unmatched_deposit,,792,,Bank deposit is not linked to an eligible payment,,warning,open
83,unmatched_deposit,,793,,Bank deposit is not linked to an eligible payment,,warning,open
87,unmatched_deposit,,794,,Bank deposit is not linked to an eligible payment,,warning,open
93,unmatched_deposit,,795,,Bank deposit is not linked to an eligible payment,,warning,open
100,unmatched_deposit,,796,,Bank deposit is not linked to an eligible payment,,warning,open
103,unmatched_deposit,,797,,Bank deposit is not linked to an eligible payment,,warning,open
119,unmatched_deposit,,798,,Bank deposit is not linked to an eligible payment,,warning,open
121,unmatched_deposit,,799,,Bank deposit is not linked to an eligible payment,,warning,open
126,unmatched_deposit,,800,,Bank deposit is not linked to an eligible payment,,warning,open
133,unmatched_deposit,,801,,Bank deposit is not linked to an eligible payment,,warning,open
135,unmatched_deposit,,802,,Bank deposit is not linked to an eligible payment,,warning,open
140,unmatched_deposit,,803,,Bank deposit is not linked to an eligible payment,,warning,open
154,unmatched_deposit,,804,,Bank deposit is not linked to an eligible payment,,warning,open
176,unmatched_deposit,,805,,Bank deposit is not linked to an eligible payment,,warning,open
179,unmatched_deposit,,806,,Bank deposit is not linked to an eligible payment,,warning,open
187,unmatched_deposit,,807,,Bank deposit is not linked to an eligible payment,,warning,open
196,unmatched_deposit,,808,,Bank deposit is not linked to an eligible payment,,warning,open
201,unmatched_deposit,,809,,Bank deposit is not linked to an eligible payment,,warning,open
206,unmatched_deposit,,810,,Bank deposit is not linked to an eligible payment,,warning,open
211,unmatched_deposit,,811,,Bank deposit is not linked to an eligible payment,,warning,open
213,unmatched_deposit,,812,,Bank deposit is not linked to an eligible payment,,warning,open
215,unmatched_deposit,,813,,Bank deposit is not linked to an eligible payment,,warning,open
217,unmatched_deposit,,814,,Bank deposit is not linked to an eligible payment,,warning,open
222,unmatched_deposit,,815,,Bank deposit is not linked to an eligible payment,,warning,open
227,unmatched_deposit,,816,,Bank deposit is not linked to an eligible payment,,warning,open
238,unmatched_deposit,,817,,Bank deposit is not linked to an eligible payment,,warning,open
241,unmatched_deposit,,818,,Bank deposit is not linked to an eligible payment,,warning,open
245,unmatched_deposit,,819,,Bank deposit is not linked to an eligible payment,,warning,open
258,unmatched_deposit,,820,,Bank deposit is not linked to an eligible payment,,warning,open
262,unmatched_deposit,,821,,Bank deposit is not linked to an eligible payment,,warning,open
268,unmatched_deposit,,822,,Bank deposit is not linked to an eligible payment,,warning,open
273,unmatched_deposit,,823,,Bank deposit is not linked to an eligible payment,,warning,open
275,unmatched_deposit,,824,,Bank deposit is not linked to an eligible payment,,warning,open
282,unmatched_deposit,,825,,Bank deposit is not linked to an eligible payment,,warning,open
285,unmatched_deposit,,826,,Bank deposit is not linked to an eligible payment,,warning,open
292,unmatched_deposit,,827,,Bank deposit is not linked to an eligible payment,,warning,open
296,unmatched_deposit,,828,,Bank deposit is not linked to an eligible payment,,warning,open
298,unmatched_deposit,,829,,Bank deposit is not linked to an eligible payment,,warning,open
