confidence,deposit_total,gl_total,group_id,invoice_id,invoice_total,matched_amount,payment_total,status
0.850000,0.000000,3403.000000,1,INV-2022-0001,3403.000000,3403.000000,3403.000000,partially_matched
0.850000,0.000000,5779.000000,33,INV-2022-0033,5779.000000,5779.000000,5779.000000,partially_matched
0.850000,0.000000,5579.000000,62,INV-2022-0062,5579.000000,5579.000000,5579.000000,partially_matched
0.850000,0.000000,4712.000000,94,INV-2022-0094,4712.000000,4712.000000,4712.000000,partially_matched
0.850000,0.000000,4273.000000,125,INV-2022-0125,4273.000000,4273.000000,4273.000000,partially_matched
0.850000,0.000000,5913.000000,157,INV-2022-0157,5913.000000,5913.000000,5913.000000,partially_matched
0.850000,0.000000,5625.000000,188,INV-2022-0188,5625.000000,5625.000000,5625.000000,partially_matched
0.850000,0.000000,4441.000000,220,INV-2022-0220,4441.000000,4441.000000,4441.000000,partially_matched
0.850000,0.000000,3754.000000,252,INV-2022-0252,3754.000000,3754.000000,3754.000000,partially_matched
0.850000,0.000000,3185.000000,283,INV-2022-0283,3185.000000,3185.000000,3185.000000,partially_matched
0.850000,0.000000,3636.000000,315,INV-2022-0315,3636.000000,3636.000000,3636.000000,partially_matched
0.850000,0.000000,3529.000000,346,INV-2022-0346,3529.000000,3529.000000,3529.000000,partially_matched
0.850000,0.000000,5068.000000,378,INV-2023-0378,5068.000000,5068.000000,5068.000000,partially_matched
0.850000,0.000000,5147.000000,410,INV-2023-0410,5147.000000,5147.000000,5147.000000,partially_matched
0.850000,0.000000,4622.000000,439,INV-2023-0439,4622.000000,4622.000000,4622.000000,partially_matched
0.850000,0.000000,3939.000000,471,INV-2023-0471,3939.000000,3939.000000,3939.000000,partially_matched
0.850000,0.000000,5381.000000,502,INV-2023-0502,5381.000000,5381.000000,5381.000000,partially_matched
0.850000,0.000000,3374.000000,534,INV-2023-0534,3374.000000,3374.000000,3374.000000,partially_matched
0.850000,0.000000,5884.000000,565,INV-2023-0565,5884.000000,5884.000000,5884.000000,partially_matched
0.850000,0.000000,5365.000000,597,INV-2023-0597,5365.000000,5365.000000,5365.000000,partially_matched
0.850000,0.000000,4851.000000,629,INV-2023-0629,4851.000000,4851.000000,4851.000000,partially_matched
0.850000,0.000000,4646.000000,660,INV-2023-0660,4646.000000,4646.000000,4646.000000,partially_matched
0.850000,0.000000,3503.000000,692,INV-2023-0692,3503.000000,3503.000000,3503.000000,partially_matched
0.850000,0.000000,5008.000000,723,INV-2023-0723,5008.000000,5008.000000,5008.000000,partially_matched
