bank_transaction_id,code,gl_record_id,id,invoice_id,message,payment_id,severity,status
,missing_bank_deposit,,1466,INV-2022-0002,Applied payment has no exact bank deposit,,error,open
,missing_bank_deposit,,1467,INV-2022-0034,Applied payment has no exact bank deposit,,error,open
,missing_bank_deposit,,1468,INV-2022-0063,Applied payment has no exact bank deposit,,error,open
,missing_bank_deposit,,1469,INV-2022-0095,Applied payment has no exact bank deposit,,error,open
,missing_bank_deposit,,1470,INV-2022-0126,Applied payment has no exact bank deposit,,error,open
,missing_bank_deposit,,1471,INV-2022-0158,Applied payment has no exact bank deposit,,error,open
,missing_bank_deposit,,1472,INV-2022-0189,Applied payment has no exact bank deposit,,error,open
,missing_bank_deposit,,1473,INV-2022-0221,Applied payment has no exact bank deposit,,error,open
,missing_bank_deposit,,1474,INV-2022-0253,Applied payment has no exact bank deposit,,error,open
,missing_bank_deposit,,1475,INV-2022-0284,Applied payment has no exact bank deposit,,error,open
,missing_bank_deposit,,1476,INV-2022-0316,Applied payment has no exact bank deposit,,error,open
,missing_bank_deposit,,1477,INV-2022-0347,Applied payment has no exact bank deposit,,error,open
,missing_bank_deposit,,1478,INV-2023-0379,Applied payment has no exact bank deposit,,error,open
,missing_bank_deposit,,1479,INV-2023-0411,Applied payment has no exact bank deposit,,error,open
,missing_bank_deposit,,1480,INV-2023-0440,Applied payment has no exact bank deposit,,error,open
,missing_bank_deposit,,1481,INV-2023-0472,Applied payment has no exact bank deposit,,error,open
,missing_bank_deposit,,1482,INV-2023-0503,Applied payment has no exact bank deposit,,error,open
,missing_bank_deposit,,1483,INV-2023-0535,Applied payment has no exact bank deposit,,error,open
,missing_bank_deposit,,1484,INV-2023-0566,Applied payment has no exact bank deposit,,error,open
,missing_bank_deposit,,1485,INV-2023-0598,Applied payment has no exact bank deposit,,error,open
,missing_bank_deposit,,1486,INV-2023-0630,Applied payment has no exact bank deposit,,error,open
,missing_bank_deposit,,1487,INV-2023-0661,Applied payment has no exact bank deposit,,error,open
,missing_bank_deposit,,1488,INV-2023-0693,Applied payment has no exact bank deposit,,error,open
,missing_bank_deposit,,1489,INV-2023-0724,Applied payment has no exact bank deposit,,error,open
9,unmatched_bank_deposit,,1490,,Bank deposit is not linked to an eligible payment,,warning,open
13,unmatched_bank_deposit,,1491,,Bank deposit is not linked to an eligible payment,,warning,open
18,unmatched_bank_deposit,,1492,,Bank deposit is not linked to an eligible payment,,warning,open
21,unmatched_bank_deposit,,1493,,Bank deposit is not linked to an eligible payment,,warning,open
29,unmatched_bank_deposit,,1494,,Bank deposit is not linked to an eligible payment,,warning,open
