confidence,deposit_total,gl_total,group_id,invoice_id,invoice_total,matched_amount,payment_total,status
1.000000,802.000000,802.000000,3022,INV-2022-0001,802.000000,802.000000,802.000000,matched
0.850000,0.000000,3403.000000,3023,INV-2022-0002,3403.000000,3403.000000,3403.000000,partially_matched
1.000000,970.000000,970.000000,3024,INV-2022-0003,970.000000,970.000000,970.000000,matched
1.000000,888.000000,888.000000,3025,INV-2022-0004,888.000000,888.000000,888.000000,matched
1.000000,821.000000,821.000000,3026,INV-2022-0005,821.000000,821.000000,821.000000,matched
1.000000,787.000000,787.000000,3027,INV-2022-0006,787.000000,787.000000,787.000000,matched
1.000000,1059.000000,1059.000000,3028,INV-2022-0007,1059.000000,1059.000000,1059.000000,matched
1.000000,849.000000,849.000000,3029,INV-2022-0008,849.000000,849.000000,849.000000,matched
1.000000,1113.000000,1113.000000,3030,INV-2022-0009,1113.000000,1113.000000,1113.000000,matched
1.000000,891.000000,891.000000,3031,INV-2022-0010,891.000000,891.000000,891.000000,matched
1.000000,860.000000,860.000000,3032,INV-2022-0011,860.000000,860.000000,860.000000,matched
1.000000,721.000000,721.000000,3033,INV-2022-0012,721.000000,721.000000,721.000000,matched
1.000000,1174.000000,1174.000000,3034,INV-2022-0013,1174.000000,1174.000000,1174.000000,matched
1.000000,869.000000,869.000000,3035,INV-2022-0014,869.000000,869.000000,869.000000,matched
1.000000,1063.000000,1063.000000,3036,INV-2022-0015,1063.000000,1063.000000,1063.000000,matched
1.000000,1019.000000,1019.000000,3037,INV-2022-0016,1019.000000,1019.000000,1019.000000,matched
1.000000,1184.000000,1184.000000,3038,INV-2022-0017,1184.000000,1184.000000,1184.000000,matched
1.000000,720.000000,720.000000,3039,INV-2022-0018,720.000000,720.000000,720.000000,matched
1.000000,973.000000,973.000000,3040,INV-2022-0019,973.000000,973.000000,973.000000,matched
1.000000,1015.000000,1015.000000,3041,INV-2022-0020,1015.000000,1015.000000,1015.000000,matched
1.000000,964.000000,964.000000,3042,INV-2022-0021,964.000000,964.000000,964.000000,matched
1.000000,791.000000,791.000000,3043,INV-2022-0022,791.000000,791.000000,791.000000,matched
1.000000,1154.000000,1154.000000,3044,INV-2022-0023,1154.000000,1154.000000,1154.000000,matched
1.000000,963.000000,963.000000,3045,INV-2022-0024,963.000000,963.000000,963.000000,matched
1.000000,1119.000000,1119.000000,3046,INV-2022-0025,1119.000000,1119.000000,1119.000000,matched
1.000000,1089.000000,1089.000000,3047,INV-2022-0026,1089.000000,1089.000000,1089.000000,matched
1.000000,959.000000,959.000000,3048,INV-2022-0027,959.000000,959.000000,959.000000,matched
1.000000,917.000000,917.000000,3049,INV-2022-0028,917.000000,917.000000,917.000000,matched
1.000000,901.000000,901.000000,3050,INV-2022-0029,901.000000,901.000000,901.000000,matched
1.000000,969.000000,969.000000,3051,INV-2022-0030,969.000000,969.000000,969.000000,matched
1.000000,970.000000,970.000000,3052,INV-2022-0031,970.000000,970.000000,970.000000,matched
