confidence,deposit_total,gl_total,group_id,invoice_id,invoice_total,matched_amount,payment_total,status
1.000000,802.000000,802.000000,3776,INV-2022-0001,802.000000,802.000000,802.000000,matched
0.850000,0.000000,3403.000000,3777,INV-2022-0002,3403.000000,3403.000000,3403.000000,partially_matched
1.000000,970.000000,970.000000,3778,INV-2022-0003,970.000000,970.000000,970.000000,matched
1.000000,888.000000,888.000000,3779,INV-2022-0004,888.000000,888.000000,888.000000,matched
1.000000,821.000000,821.000000,3780,INV-2022-0005,821.000000,821.000000,821.000000,matched
1.000000,787.000000,787.000000,3781,INV-2022-0006,787.000000,787.000000,787.000000,matched
1.000000,1059.000000,1059.000000,3782,INV-2022-0007,1059.000000,1059.000000,1059.000000,matched
1.000000,849.000000,849.000000,3783,INV-2022-0008,849.000000,849.000000,849.000000,matched
1.000000,1113.000000,1113.000000,3784,INV-2022-0009,1113.000000,1113.000000,1113.000000,matched
1.000000,891.000000,891.000000,3785,INV-2022-0010,891.000000,891.000000,891.000000,matched
1.000000,860.000000,860.000000,3786,INV-2022-0011,860.000000,860.000000,860.000000,matched
1.000000,721.000000,721.000000,3787,INV-2022-0012,721.000000,721.000000,721.000000,matched
1.000000,1174.000000,1174.000000,3788,INV-2022-0013,1174.000000,1174.000000,1174.000000,matched
1.000000,869.000000,869.000000,3789,INV-2022-0014,869.000000,869.000000,869.000000,matched
1.000000,1063.000000,1063.000000,3790,INV-2022-0015,1063.000000,1063.000000,1063.000000,matched
1.000000,1019.000000,1019.000000,3791,INV-2022-0016,1019.000000,1019.000000,1019.000000,matched
1.000000,1184.000000,1184.000000,3792,INV-2022-0017,1184.000000,1184.000000,1184.000000,matched
1.000000,720.000000,720.000000,3793,INV-2022-0018,720.000000,720.000000,720.000000,matched
1.000000,973.000000,973.000000,3794,INV-2022-0019,973.000000,973.000000,973.000000,matched
1.000000,1015.000000,1015.000000,3795,INV-2022-0020,1015.000000,1015.000000,1015.000000,matched
1.000000,964.000000,964.000000,3796,INV-2022-0021,964.000000,964.000000,964.000000,matched
1.000000,791.000000,791.000000,3797,INV-2022-0022,791.000000,791.000000,791.000000,matched
1.000000,1154.000000,1154.000000,3798,INV-2022-0023,1154.000000,1154.000000,1154.000000,matched
1.000000,963.000000,963.000000,3799,INV-2022-0024,963.000000,963.000000,963.000000,matched
1.000000,1119.000000,1119.000000,3800,INV-2022-0025,1119.000000,1119.000000,1119.000000,matched
1.000000,1089.000000,1089.000000,3801,INV-2022-0026,1089.000000,1089.000000,1089.000000,matched
1.000000,959.000000,959.000000,3802,INV-2022-0027,959.000000,959.000000,959.000000,matched
1.000000,917.000000,917.000000,3803,INV-2022-0028,917.000000,917.000000,917.000000,matched
1.000000,901.000000,901.000000,3804,INV-2022-0029,901.000000,901.000000,901.000000,matched
1.000000,969.000000,969.000000,3805,INV-2022-0030,969.000000,969.000000,969.000000,matched
1.000000,970.000000,970.000000,3806,INV-2022-0031,970.000000,970.000000,970.000000,matched
1.000000,889.000000,889.000000,3807,INV-2022-0032,889.000000,889.000000,889.000000,matched
1.000000,907.000000,907.000000,3808,INV-2022-0033,907.000000,907.000000,907.000000,matched
0.850000,0.000000,5779.000000,3809,INV-2022-0034,5779.000000,5779.000000,5779.000000,partially_matched
1.000000,1066.000000,1066.000000,3810,INV-2022-0035,1066.000000,1066.000000,1066.000000,matched
1.000000,1109.000000,1109.000000,3811,INV-2022-0036,1109.000000,1109.000000,1109.000000,matched
1.000000,887.000000,887.000000,3812,INV-2022-0037,887.000000,887.000000,887.000000,matched
1.000000,740.000000,740.000000,3813,INV-2022-0038,740.000000,740.000000,740.000000,matched
1.000000,1000.000000,1000.000000,3814,INV-2022-0039,1000.000000,1000.000000,1000.000000,matched
1.000000,1043.000000,1043.000000,3815,INV-2022-0040,1043.000000,1043.000000,1043.000000,matched
1.000000,835.000000,835.000000,3816,INV-2022-0041,835.000000,835.000000,835.000000,matched
1.000000,780.000000,780.000000,3817,INV-2022-0042,780.000000,780.000000,780.000000,matched
1.000000,1118.000000,1118.000000,3818,INV-2022-0043,1118.000000,1118.000000,1118.000000,matched
1.000000,960.000000,960.000000,3819,INV-2022-0044,960.000000,960.000000,960.000000,matched
1.000000,740.000000,740.000000,3820,INV-2022-0045,740.000000,740.000000,740.000000,matched
1.000000,900.000000,900.000000,3821,INV-2022-0046,900.000000,900.000000,900.000000,matched
1.000000,1117.000000,1117.000000,3822,INV-2022-0047,1117.000000,1117.000000,1117.000000,matched
1.000000,798.000000,798.000000,3823,INV-2022-0048,798.000000,798.000000,798.000000,matched
1.000000,913.000000,913.000000,3824,INV-2022-0049,913.000000,913.000000,913.000000,matched
1.000000,1148.000000,1148.000000,3825,INV-2022-0050,1148.000000,1148.000000,1148.000000,matched
1.000000,1130.000000,1130.000000,3826,INV-2022-0051,1130.000000,1130.000000,1130.000000,matched
1.000000,956.000000,956.000000,3827,INV-2022-0052,956.000000,956.000000,956.000000,matched
1.000000,954.000000,954.000000,3828,INV-2022-0053,954.000000,954.000000,954.000000,matched
1.000000,982.000000,982.000000,3829,INV-2022-0054,982.000000,982.000000,982.000000,matched
1.000000,714.000000,714.000000,3830,INV-2022-0055,714.000000,714.000000,714.000000,matched
1.000000,878.000000,878.000000,3831,INV-2022-0056,878.000000,878.000000,878.000000,matched
1.000000,751.000000,751.000000,3832,INV-2022-0057,751.000000,751.000000,751.000000,matched
1.000000,1087.000000,1087.000000,3833,INV-2022-0058,1087.000000,1087.000000,1087.000000,matched
1.000000,1106.000000,1106.000000,3834,INV-2022-0059,1106.000000,1106.000000,1106.000000,matched
1.000000,842.000000,842.000000,3835,INV-2022-0060,842.000000,842.000000,842.000000,matched
1.000000,735.000000,735.000000,3836,INV-2022-0061,735.000000,735.000000,735.000000,matched
1.000000,726.000000,726.000000,3837,INV-2022-0062,726.000000,726.000000,726.000000,matched
0.850000,0.000000,5579.000000,3838,INV-2022-0063,5579.000000,5579.000000,5579.000000,partially_matched
1.000000,485.000000,485.000000,3839,INV-2022-0064,485.000000,485.000000,485.000000,matched
1.000000,569.000000,569.000000,3840,INV-2022-0065,569.000000,569.000000,569.000000,matched
1.000000,533.000000,533.000000,3841,INV-2022-0066,533.000000,533.000000,533.000000,matched
1.000000,507.000000,507.000000,3842,INV-2022-0067,507.000000,507.000000,507.000000,matched
1.000000,527.000000,527.000000,3843,INV-2022-0068,527.000000,527.000000,527.000000,matched
1.000000,747.000000,747.000000,3844,INV-2022-0069,747.000000,747.000000,747.000000,matched
1.000000,589.000000,589.000000,3845,INV-2022-0070,589.000000,589.000000,589.000000,matched
1.000000,520.000000,520.000000,3846,INV-2022-0071,520.000000,520.000000,520.000000,matched
1.000000,632.000000,632.000000,3847,INV-2022-0072,632.000000,632.000000,632.000000,matched
1.000000,597.000000,597.000000,3848,INV-2022-0073,597.000000,597.000000,597.000000,matched
1.000000,536.000000,536.000000,3849,INV-2022-0074,536.000000,536.000000,536.000000,matched
1.000000,624.000000,624.000000,3850,INV-2022-0075,624.000000,624.000000,624.000000,matched
1.000000,773.000000,773.000000,3851,INV-2022-0076,773.000000,773.000000,773.000000,matched
1.000000,632.000000,632.000000,3852,INV-2022-0077,632.000000,632.000000,632.000000,matched
1.000000,717.000000,717.000000,3853,INV-2022-0078,717.000000,717.000000,717.000000,matched
1.000000,451.000000,451.000000,3854,INV-2022-0079,451.000000,451.000000,451.000000,matched
1.000000,694.000000,694.000000,3855,INV-2022-0080,694.000000,694.000000,694.000000,matched
1.000000,512.000000,512.000000,3856,INV-2022-0081,512.000000,512.000000,512.000000,matched
1.000000,512.000000,512.000000,3857,INV-2022-0082,512.000000,512.000000,512.000000,matched
1.000000,619.000000,619.000000,3858,INV-2022-0083,619.000000,619.000000,619.000000,matched
1.000000,784.000000,784.000000,3859,INV-2022-0084,784.000000,784.000000,784.000000,matched
1.000000,529.000000,529.000000,3860,INV-2022-0085,529.000000,529.000000,529.000000,matched
1.000000,617.000000,617.000000,3861,INV-2022-0086,617.000000,617.000000,617.000000,matched
1.000000,646.000000,646.000000,3862,INV-2022-0087,646.000000,646.000000,646.000000,matched
1.000000,602.000000,602.000000,3863,INV-2022-0088,602.000000,602.000000,602.000000,matched
1.000000,654.000000,654.000000,3864,INV-2022-0089,654.000000,654.000000,654.000000,matched
1.000000,724.000000,724.000000,3865,INV-2022-0090,724.000000,724.000000,724.000000,matched
1.000000,597.000000,597.000000,3866,INV-2022-0091,597.000000,597.000000,597.000000,matched
1.000000,639.000000,639.000000,3867,INV-2022-0092,639.000000,639.000000,639.000000,matched
1.000000,600.000000,600.000000,3868,INV-2022-0093,600.000000,600.000000,600.000000,matched
1.000000,725.000000,725.000000,3869,INV-2022-0094,725.000000,725.000000,725.000000,matched
0.850000,0.000000,4712.000000,3870,INV-2022-0095,4712.000000,4712.000000,4712.000000,partially_matched
1.000000,658.000000,658.000000,3871,INV-2022-0096,658.000000,658.000000,658.000000,matched
1.000000,745.000000,745.000000,3872,INV-2022-0097,745.000000,745.000000,745.000000,matched
1.000000,546.000000,546.000000,3873,INV-2022-0098,546.000000,546.000000,546.000000,matched
1.000000,598.000000,598.000000,3874,INV-2022-0099,598.000000,598.000000,598.000000,matched
1.000000,759.000000,759.000000,3875,INV-2022-0100,759.000000,759.000000,759.000000,matched
1.000000,498.000000,498.000000,3876,INV-2022-0101,498.000000,498.000000,498.000000,matched
1.000000,543.000000,543.000000,3877,INV-2022-0102,543.000000,543.000000,543.000000,matched
1.000000,459.000000,459.000000,3878,INV-2022-0103,459.000000,459.000000,459.000000,matched
1.000000,784.000000,784.000000,3879,INV-2022-0104,784.000000,784.000000,784.000000,matched
1.000000,436.000000,436.000000,3880,INV-2022-0105,436.000000,436.000000,436.000000,matched
1.000000,408.000000,408.000000,3881,INV-2022-0106,408.000000,408.000000,408.000000,matched
1.000000,546.000000,546.000000,3882,INV-2022-0107,546.000000,546.000000,546.000000,matched
1.000000,530.000000,530.000000,3883,INV-2022-0108,530.000000,530.000000,530.000000,matched
1.000000,453.000000,453.000000,3884,INV-2022-0109,453.000000,453.000000,453.000000,matched
1.000000,515.000000,515.000000,3885,INV-2022-0110,515.000000,515.000000,515.000000,matched
1.000000,653.000000,653.000000,3886,INV-2022-0111,653.000000,653.000000,653.000000,matched
1.000000,748.000000,748.000000,3887,INV-2022-0112,748.000000,748.000000,748.000000,matched
1.000000,765.000000,765.000000,3888,INV-2022-0113,765.000000,765.000000,765.000000,matched
1.000000,709.000000,709.000000,3889,INV-2022-0114,709.000000,709.000000,709.000000,matched
1.000000,568.000000,568.000000,3890,INV-2022-0115,568.000000,568.000000,568.000000,matched
1.000000,797.000000,797.000000,3891,INV-2022-0116,797.000000,797.000000,797.000000,matched
1.000000,783.000000,783.000000,3892,INV-2022-0117,783.000000,783.000000,783.000000,matched
1.000000,594.000000,594.000000,3893,INV-2022-0118,594.000000,594.000000,594.000000,matched
1.000000,432.000000,432.000000,3894,INV-2022-0119,432.000000,432.000000,432.000000,matched
1.000000,770.000000,770.000000,3895,INV-2022-0120,770.000000,770.000000,770.000000,matched
1.000000,421.000000,421.000000,3896,INV-2022-0121,421.000000,421.000000,421.000000,matched
1.000000,437.000000,437.000000,3897,INV-2022-0122,437.000000,437.000000,437.000000,matched
1.000000,450.000000,450.000000,3898,INV-2022-0123,450.000000,450.000000,450.000000,matched
1.000000,682.000000,682.000000,3899,INV-2022-0124,682.000000,682.000000,682.000000,matched
1.000000,676.000000,676.000000,3900,INV-2022-0125,676.000000,676.000000,676.000000,matched
0.850000,0.000000,4273.000000,3901,INV-2022-0126,4273.000000,4273.000000,4273.000000,partially_matched
1.000000,683.000000,683.000000,3902,INV-2022-0127,683.000000,683.000000,683.000000,matched
1.000000,716.000000,716.000000,3903,INV-2022-0128,716.000000,716.000000,716.000000,matched
1.000000,403.000000,403.000000,3904,INV-2022-0129,403.000000,403.000000,403.000000,matched
1.000000,571.000000,571.000000,3905,INV-2022-0130,571.000000,571.000000,571.000000,matched
1.000000,445.000000,445.000000,3906,INV-2022-0131,445.000000,445.000000,445.000000,matched
1.000000,498.000000,498.000000,3907,INV-2022-0132,498.000000,498.000000,498.000000,matched
1.000000,436.000000,436.000000,3908,INV-2022-0133,436.000000,436.000000,436.000000,matched
1.000000,701.000000,701.000000,3909,INV-2022-0134,701.000000,701.000000,701.000000,matched
1.000000,498.000000,498.000000,3910,INV-2022-0135,498.000000,498.000000,498.000000,matched
