bank_transaction_id,code,gl_record_id,id,invoice_id,message,payment_id,severity,status
9,unmatched_bank_deposit,,1832,,Bank deposit is not linked to an eligible payment,,warning,open
13,unmatched_bank_deposit,,1833,,Bank deposit is not linked to an eligible payment,,warning,open
18,unmatched_bank_deposit,,1834,,Bank deposit is not linked to an eligible payment,,warning,open
21,unmatched_bank_deposit,,1835,,Bank deposit is not linked to an eligible payment,,warning,open
29,unmatched_bank_deposit,,1836,,Bank deposit is not linked to an eligible payment,,warning,open
33,unmatched_bank_deposit,,1837,,Bank deposit is not linked to an eligible payment,,warning,open
35,unmatched_bank_deposit,,1838,,Bank deposit is not linked to an eligible payment,,warning,open
38,unmatched_bank_deposit,,1839,,Bank deposit is not linked to an eligible payment,,warning,open
43,unmatched_bank_deposit,,1840,,Bank deposit is not linked to an eligible payment,,warning,open
51,unmatched_bank_deposit,,1841,,Bank deposit is not linked to an eligible payment,,warning,open
54,unmatched_bank_deposit,,1842,,Bank deposit is not linked to an eligible payment,,warning,open
61,unmatched_bank_deposit,,1843,,Bank deposit is not linked to an eligible payment,,warning,open
70,unmatched_bank_deposit,,1844,,Bank deposit is not linked to an eligible payment,,warning,open
72,unmatched_bank_deposit,,1845,,Bank deposit is not linked to an eligible payment,,warning,open
83,unmatched_bank_deposit,,1846,,Bank deposit is not linked to an eligible payment,,warning,open
87,unmatched_bank_deposit,,1847,,Bank deposit is not linked to an eligible payment,,warning,open
93,unmatched_bank_deposit,,1848,,Bank deposit is not linked to an eligible payment,,warning,open
100,unmatched_bank_deposit,,1849,,Bank deposit is not linked to an eligible payment,,warning,open
103,unmatched_bank_deposit,,1850,,Bank deposit is not linked to an eligible payment,,warning,open
119,unmatched_bank_deposit,,1851,,Bank deposit is not linked to an eligible payment,,warning,open
121,unmatched_bank_deposit,,1852,,Bank deposit is not linked to an eligible payment,,warning,open
126,unmatched_bank_deposit,,1853,,Bank deposit is not linked to an eligible payment,,warning,open
133,unmatched_bank_deposit,,1854,,Bank deposit is not linked to an eligible payment,,warning,open
135,unmatched_bank_deposit,,1855,,Bank deposit is not linked to an eligible payment,,warning,open
140,unmatched_bank_deposit,,1856,,Bank deposit is not linked to an eligible payment,,warning,open
154,unmatched_bank_deposit,,1857,,Bank deposit is not linked to an eligible payment,,warning,open
176,unmatched_bank_deposit,,1858,,Bank deposit is not linked to an eligible payment,,warning,open
179,unmatched_bank_deposit,,1859,,Bank deposit is not linked to an eligible payment,,warning,open
187,unmatched_bank_deposit,,1860,,Bank deposit is not linked to an eligible payment,,warning,open
196,unmatched_bank_deposit,,1861,,Bank deposit is not linked to an eligible payment,,warning,open
