confidence,deposit_total,gl_total,group_id,invoice_id,invoice_total,matched_amount,payment_total,status
1.000000,802.000000,802.000000,5284,INV-2022-0001,802.000000,802.000000,802.000000,matched
0.850000,0.000000,3403.000000,5285,INV-2022-0002,3403.000000,3403.000000,3403.000000,partially_matched
1.000000,970.000000,970.000000,5286,INV-2022-0003,970.000000,970.000000,970.000000,matched
1.000000,888.000000,888.000000,5287,INV-2022-0004,888.000000,888.000000,888.000000,matched
1.000000,821.000000,821.000000,5288,INV-2022-0005,821.000000,821.000000,821.000000,matched
1.000000,787.000000,787.000000,5289,INV-2022-0006,787.000000,787.000000,787.000000,matched
1.000000,1059.000000,1059.000000,5290,INV-2022-0007,1059.000000,1059.000000,1059.000000,matched
1.000000,849.000000,849.000000,5291,INV-2022-0008,849.000000,849.000000,849.000000,matched
1.000000,1113.000000,1113.000000,5292,INV-2022-0009,1113.000000,1113.000000,1113.000000,matched
1.000000,891.000000,891.000000,5293,INV-2022-0010,891.000000,891.000000,891.000000,matched
1.000000,860.000000,860.000000,5294,INV-2022-0011,860.000000,860.000000,860.000000,matched
1.000000,721.000000,721.000000,5295,INV-2022-0012,721.000000,721.000000,721.000000,matched
1.000000,1174.000000,1174.000000,5296,INV-2022-0013,1174.000000,1174.000000,1174.000000,matched
1.000000,869.000000,869.000000,5297,INV-2022-0014,869.000000,869.000000,869.000000,matched
1.000000,1063.000000,1063.000000,5298,INV-2022-0015,1063.000000,1063.000000,1063.000000,matched
1.000000,1019.000000,1019.000000,5299,INV-2022-0016,1019.000000,1019.000000,1019.000000,matched
1.000000,1184.000000,1184.000000,5300,INV-2022-0017,1184.000000,1184.000000,1184.000000,matched
1.000000,720.000000,720.000000,5301,INV-2022-0018,720.000000,720.000000,720.000000,matched
1.000000,973.000000,973.000000,5302,INV-2022-0019,973.000000,973.000000,973.000000,matched
1.000000,1015.000000,1015.000000,5303,INV-2022-0020,1015.000000,1015.000000,1015.000000,matched
1.000000,964.000000,964.000000,5304,INV-2022-0021,964.000000,964.000000,964.000000,matched
1.000000,791.000000,791.000000,5305,INV-2022-0022,791.000000,791.000000,791.000000,matched
1.000000,1154.000000,1154.000000,5306,INV-2022-0023,1154.000000,1154.000000,1154.000000,matched
1.000000,963.000000,963.000000,5307,INV-2022-0024,963.000000,963.000000,963.000000,matched
1.000000,1119.000000,1119.000000,5308,INV-2022-0025,1119.000000,1119.000000,1119.000000,matched
