bank_transaction_id,code,gl_record_id,id,invoice_id,message,payment_id,severity,status
9,unmatched_bank_deposit,,2003,,Bank deposit is not linked to an eligible payment,,warning,open
13,unmatched_bank_deposit,,2004,,Bank deposit is not linked to an eligible payment,,warning,open
18,unmatched_bank_deposit,,2005,,Bank deposit is not linked to an eligible payment,,warning,open
21,unmatched_bank_deposit,,2006,,Bank deposit is not linked to an eligible payment,,warning,open
29,unmatched_bank_deposit,,2007,,Bank deposit is not linked to an eligible payment,,warning,open
33,unmatched_bank_deposit,,2008,,Bank deposit is not linked to an eligible payment,,warning,open
35,unmatched_bank_deposit,,2009,,Bank deposit is not linked to an eligible payment,,warning,open
38,unmatched_bank_deposit,,2010,,Bank deposit is not linked to an eligible payment,,warning,open
43,unmatched_bank_deposit,,2011,,Bank deposit is not linked to an eligible payment,,warning,open
51,unmatched_bank_deposit,,2012,,Bank deposit is not linked to an eligible payment,,warning,open
54,unmatched_bank_deposit,,2013,,Bank deposit is not linked to an eligible payment,,warning,open
61,unmatched_bank_deposit,,2014,,Bank deposit is not linked to an eligible payment,,warning,open
70,unmatched_bank_deposit,,2015,,Bank deposit is not linked to an eligible payment,,warning,open
72,unmatched_bank_deposit,,2016,,Bank deposit is not linked to an eligible payment,,warning,open
83,unmatched_bank_deposit,,2017,,Bank deposit is not linked to an eligible payment,,warning,open
87,unmatched_bank_deposit,,2018,,Bank deposit is not linked to an eligible payment,,warning,open
93,unmatched_bank_deposit,,2019,,Bank deposit is not linked to an eligible payment,,warning,open
100,unmatched_bank_deposit,,2020,,Bank deposit is not linked to an eligible payment,,warning,open
103,unmatched_bank_deposit,,2021,,Bank deposit is not linked to an eligible payment,,warning,open
119,unmatched_bank_deposit,,2022,,Bank deposit is not linked to an eligible payment,,warning,open
121,unmatched_bank_deposit,,2023,,Bank deposit is not linked to an eligible payment,,warning,open
126,unmatched_bank_deposit,,2024,,Bank deposit is not linked to an eligible payment,,warning,open
133,unmatched_bank_deposit,,2025,,Bank deposit is not linked to an eligible payment,,warning,open
135,unmatched_bank_deposit,,2026,,Bank deposit is not linked to an eligible payment,,warning,open
140,unmatched_bank_deposit,,2027,,Bank deposit is not linked to an eligible payment,,warning,open
154,unmatched_bank_deposit,,2028,,Bank deposit is not linked to an eligible payment,,warning,open
176,unmatched_bank_deposit,,2029,,Bank deposit is not linked to an eligible payment,,warning,open
179,unmatched_bank_deposit,,2030,,Bank deposit is not linked to an eligible payment,,warning,open
187,unmatched_bank_deposit,,2031,,Bank deposit is not linked to an eligible payment,,warning,open
196,unmatched_bank_deposit,,2032,,Bank deposit is not linked to an eligible payment,,warning,open
201,unmatched_bank_deposit,,2033,,Bank deposit is not linked to an eligible payment,,warning,open
206,unmatched_bank_deposit,,2034,,Bank deposit is not linked to an eligible payment,,warning,open
211,unmatched_bank_deposit,,2035,,Bank deposit is not linked to an eligible payment,,warning,open
213,unmatched_bank_deposit,,2036,,Bank deposit is not linked to an eligible payment,,warning,open
215,unmatched_bank_deposit,,2037,,Bank deposit is not linked to an eligible payment,,warning,open
217,unmatched_bank_deposit,,2038,,Bank deposit is not linked to an eligible payment,,warning,open
222,unmatched_bank_deposit,,2039,,Bank deposit is not linked to an eligible payment,,warning,open
227,unmatched_bank_deposit,,2040,,Bank deposit is not linked to an eligible payment,,warning,open
238,unmatched_bank_deposit,,2041,,Bank deposit is not linked to an eligible payment,,warning,open
241,unmatched_bank_deposit,,2042,,Bank deposit is not linked to an eligible payment,,warning,open
245,unmatched_bank_deposit,,2043,,Bank deposit is not linked to an eligible payment,,warning,open
258,unmatched_bank_deposit,,2044,,Bank deposit is not linked to an eligible payment,,warning,open
262,unmatched_bank_deposit,,2045,,Bank deposit is not linked to an eligible payment,,warning,open
268,unmatched_bank_deposit,,2046,,Bank deposit is not linked to an eligible payment,,warning,open
273,unmatched_bank_deposit,,2047,,Bank deposit is not linked to an eligible payment,,warning,open
275,unmatched_bank_deposit,,2048,,Bank deposit is not linked to an eligible payment,,warning,open
282,unmatched_bank_deposit,,2049,,Bank deposit is not linked to an eligible payment,,warning,open
285,unmatched_bank_deposit,,2050,,Bank deposit is not linked to an eligible payment,,warning,open
292,unmatched_bank_deposit,,2051,,Bank deposit is not linked to an eligible payment,,warning,open
296,unmatched_bank_deposit,,2052,,Bank deposit is not linked to an eligible payment,,warning,open
298,unmatched_bank_deposit,,2053,,Bank deposit is not linked to an eligible payment,,warning,open
305,unmatched_bank_deposit,,2054,,Bank deposit is not linked to an eligible payment,,warning,open
311,unmatched_bank_deposit,,2055,,Bank deposit is not linked to an eligible payment,,warning,open
318,unmatched_bank_deposit,,2056,,Bank deposit is not linked to an eligible payment,,warning,open
