bank_transaction_id,code,gl_record_id,id,invoice_id,message,payment_id,severity,status
9,unmatched_bank_deposit,,2174,,Bank deposit is not linked to an eligible payment,,warning,open
13,unmatched_bank_deposit,,2175,,Bank deposit is not linked to an eligible payment,,warning,open
18,unmatched_bank_deposit,,2176,,Bank deposit is not linked to an eligible payment,,warning,open
21,unmatched_bank_deposit,,2177,,Bank deposit is not linked to an eligible payment,,warning,open
29,unmatched_bank_deposit,,2178,,Bank deposit is not linked to an eligible payment,,warning,open
33,unmatched_bank_deposit,,2179,,Bank deposit is not linked to an eligible payment,,warning,open
35,unmatched_bank_deposit,,2180,,Bank deposit is not linked to an eligible payment,,warning,open
38,unmatched_bank_deposit,,2181,,Bank deposit is not linked to an eligible payment,,warning,open
43,unmatched_bank_deposit,,2182,,Bank deposit is not linked to an eligible payment,,warning,open
51,unmatched_bank_deposit,,2183,,Bank deposit is not linked to an eligible payment,,warning,open
54,unmatched_bank_deposit,,2184,,Bank deposit is not linked to an eligible payment,,warning,open
61,unmatched_bank_deposit,,2185,,Bank deposit is not linked to an eligible payment,,warning,open
70,unmatched_bank_deposit,,2186,,Bank deposit is not linked to an eligible payment,,warning,open
72,unmatched_bank_deposit,,2187,,Bank deposit is not linked to an eligible payment,,warning,open
83,unmatched_bank_deposit,,2188,,Bank deposit is not linked to an eligible payment,,warning,open
87,unmatched_bank_deposit,,2189,,Bank deposit is not linked to an eligible payment,,warning,open
93,unmatched_bank_deposit,,2190,,Bank deposit is not linked to an eligible payment,,warning,open
100,unmatched_bank_deposit,,2191,,Bank deposit is not linked to an eligible payment,,warning,open
103,unmatched_bank_deposit,,2192,,Bank deposit is not linked to an eligible payment,,warning,open
119,unmatched_bank_deposit,,2193,,Bank deposit is not linked to an eligible payment,,warning,open
121,unmatched_bank_deposit,,2194,,Bank deposit is not linked to an eligible payment,,warning,open
126,unmatched_bank_deposit,,2195,,Bank deposit is not linked to an eligible payment,,warning,open
133,unmatched_bank_deposit,,2196,,Bank deposit is not linked to an eligible payment,,warning,open
135,unmatched_bank_deposit,,2197,,Bank deposit is not linked to an eligible payment,,warning,open
140,unmatched_bank_deposit,,2198,,Bank deposit is not linked to an eligible payment,,warning,open
154,unmatched_bank_deposit,,2199,,Bank deposit is not linked to an eligible payment,,warning,open
