confidence,deposit_total,gl_total,group_id,invoice_id,invoice_total,matched_amount,payment_total,status
1.000000,802.000000,802.000000,6792,INV-2022-0001,802.000000,802.000000,802.000000,matched
0.850000,0.000000,3403.000000,6793,INV-2022-0002,3403.000000,3403.000000,3403.000000,partially_matched
1.000000,970.000000,970.000000,6794,INV-2022-0003,970.000000,970.000000,970.000000,matched
1.000000,888.000000,888.000000,6795,INV-2022-0004,888.000000,888.000000,888.000000,matched
1.000000,821.000000,821.000000,6796,INV-2022-0005,821.000000,821.000000,821.000000,matched
1.000000,787.000000,787.000000,6797,INV-2022-0006,787.000000,787.000000,787.000000,matched
1.000000,1059.000000,1059.000000,6798,INV-2022-0007,1059.000000,1059.000000,1059.000000,matched
1.000000,849.000000,849.000000,6799,INV-2022-0008,849.000000,849.000000,849.000000,matched
1.000000,1113.000000,1113.000000,6800,INV-2022-0009,1113.000000,1113.000000,1113.000000,matched
1.000000,891.000000,891.000000,6801,INV-2022-0010,891.000000,891.000000,891.000000,matched
1.000000,860.000000,860.000000,6802,INV-2022-0011,860.000000,860.000000,860.000000,matched
1.000000,721.000000,721.000000,6803,INV-2022-0012,721.000000,721.000000,721.000000,matched
1.000000,1174.000000,1174.000000,6804,INV-2022-0013,1174.000000,1174.000000,1174.000000,matched
1.000000,869.000000,869.000000,6805,INV-2022-0014,869.000000,869.000000,869.000000,matched
1.000000,1063.000000,1063.000000,6806,INV-2022-0015,1063.000000,1063.000000,1063.000000,matched
1.000000,1019.000000,1019.000000,6807,INV-2022-0016,1019.000000,1019.000000,1019.000000,matched
1.000000,1184.000000,1184.000000,6808,INV-2022-0017,1184.000000,1184.000000,1184.000000,matched
1.000000,720.000000,720.000000,6809,INV-2022-0018,720.000000,720.000000,720.000000,matched
1.000000,973.000000,973.000000,6810,INV-2022-0019,973.000000,973.000000,973.000000,matched
1.000000,1015.000000,1015.000000,6811,INV-2022-0020,1015.000000,1015.000000,1015.000000,matched
1.000000,964.000000,964.000000,6812,INV-2022-0021,964.000000,964.000000,964.000000,matched
1.000000,791.000000,791.000000,6813,INV-2022-0022,791.000000,791.000000,791.000000,matched
1.000000,1154.000000,1154.000000,6814,INV-2022-0023,1154.000000,1154.000000,1154.000000,matched
1.000000,963.000000,963.000000,6815,INV-2022-0024,963.000000,963.000000,963.000000,matched
1.000000,1119.000000,1119.000000,6816,INV-2022-0025,1119.000000,1119.000000,1119.000000,matched
