bank,control,difference,gl,payroll,status
0.000000,allocation_balance,0.000000,,0.000000,matched
97811.000000,bank_to_gl_difference,,395511.620000,,unavailable
97811.000000,bank_withdrawal_total,208194.640000,,306005.640000,mismatch
,employee_deduction_total,,,,unavailable
,employee_tax_total,,,,unavailable
,employer_contribution_total,,,,unavailable
,employer_tax_total,,,,unavailable
97811.000000,gl_cash_total,,,,unavailable
,gl_payroll_expense_total,0.000000,395511.620000,395511.620000,matched
,gl_payroll_liability_total,0.000000,395511.620000,395511.620000,matched
,gross_pay_total,0.000000,395511.620000,395511.620000,matched
97811.000000,net_pay_total,208194.640000,,306005.640000,mismatch
,payroll_entry_count,,,266.000000,matched
97811.000000,payroll_to_bank_difference,208194.640000,,306005.640000,mismatch
,payroll_to_gl_difference,0.000000,395511.620000,395511.620000,matched
,reconciliation_rate,,,0.000000,matched
,reimbursement_total,,,,unavailable
