bank_transaction_id,code,gl_record_id,id,payroll_run_id,severity,status
2,unmatched_bank_withdrawal,,53,,warning,open
4,unmatched_bank_withdrawal,,54,,warning,open
6,unmatched_bank_withdrawal,,55,,warning,open
8,unmatched_bank_withdrawal,,56,,warning,open
10,unmatched_bank_withdrawal,,57,,warning,open
12,unmatched_bank_withdrawal,,58,,warning,open
14,unmatched_bank_withdrawal,,59,,warning,open
16,unmatched_bank_withdrawal,,60,,warning,open
18,unmatched_bank_withdrawal,,61,,warning,open
20,unmatched_bank_withdrawal,,62,,warning,open
22,unmatched_bank_withdrawal,,63,,warning,open
24,unmatched_bank_withdrawal,,64,,warning,open
26,unmatched_bank_withdrawal,,65,,warning,open
28,unmatched_bank_withdrawal,,66,,warning,open
30,unmatched_bank_withdrawal,,67,,warning,open
32,unmatched_bank_withdrawal,,68,,warning,open
34,unmatched_bank_withdrawal,,69,,warning,open
36,unmatched_bank_withdrawal,,70,,warning,open
38,unmatched_bank_withdrawal,,71,,warning,open
40,unmatched_bank_withdrawal,,72,,warning,open
42,unmatched_bank_withdrawal,,73,,warning,open
44,unmatched_bank_withdrawal,,74,,warning,open
46,unmatched_bank_withdrawal,,75,,warning,open
48,unmatched_bank_withdrawal,,76,,warning,open
